knot_id,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
12n_755,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,11,-16,19,-20,18,-14,9,-4,1,0,0,0,0,0,0,0
12n_756,0,0,0,0,0,0,0,0,0,-1,4,-7,11,-15,16,-15,14,-9,5,-2,0,0,0,0,0,0,0,0,0,0
12n_757,0,0,0,0,0,0,0,0,0,0,1,-4,9,-14,18,-19,19,-15,10,-5,1,0,0,0,0,0,0,0,0,0
12n_758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,8,-12,16,-17,17,-14,9,-5,1,0,0,0
12n_759,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,10,-15,18,-18,17,-13,8,-4,1,0,0,0,0,0,0,0
12n_760,0,0,0,0,0,0,0,0,0,2,-6,12,-17,20,-21,19,-14,9,-4,1,0,0,0,0,0,0,0,0,0,0
12n_761,0,0,0,0,0,0,0,0,0,0,0,1,-3,6,-8,10,-10,9,-7,5,-2,0,0,0,0,0,0,0,0,0
12n_762,0,0,0,0,0,0,0,0,0,0,0,1,-3,6,-8,11,-11,10,-9,6,-3,1,0,0,0,0,0,0,0,0
12n_763,0,0,0,0,0,0,0,0,-3,8,-14,21,-24,25,-22,17,-10,4,-1,0,0,0,0,0,0,0,0,0,0,0
12n_764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,4,-4,5,-4,3,-2,0,1,-1,0,0,0
12n_765,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,10,-15,21,-23,22,-19,13,-7,2,0,0,0,0,0,0
12n_766,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,7,-11,15,-16,16,-13,9,-5,1,0,0,0,0,0,0
12n_767,0,0,0,0,1,-3,6,-9,11,-13,12,-9,7,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_768,0,0,0,0,0,1,-2,3,-4,4,-4,3,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_769,0,0,0,-1,3,-7,10,-13,15,-13,12,-8,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-8,16,-21,25,-26,22,-17,10,-4,1,0,0,0,0
12n_771,0,0,0,-1,4,-8,12,-16,17,-16,14,-9,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_772,0,0,0,0,0,0,0,0,0,0,0,-2,6,-11,17,-20,22,-19,15,-10,4,-1,0,0,0,0,0,0,0,0
12n_773,0,0,0,1,-3,7,-11,13,-15,14,-11,8,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_774,0,0,0,0,1,-2,4,-6,7,-9,8,-6,5,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_775,0,0,0,0,0,0,0,0,0,-1,5,-10,16,-20,22,-21,17,-12,6,-1,0,0,0,0,0,0,0,0,0,0
12n_776,0,0,0,0,0,0,0,0,0,-1,4,-8,13,-16,18,-17,14,-10,5,-1,0,0,0,0,0,0,0,0,0,0
12n_777,0,0,0,0,0,1,-3,5,-8,10,-10,10,-8,6,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_778,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,8,-11,13,-14,13,-10,6,-3,1,0,0,0,0,0,0
12n_779,0,0,0,0,0,0,0,0,0,0,0,-1,5,-9,14,-18,19,-17,14,-9,4,-1,0,0,0,0,0,0,0,0
12n_780,0,0,0,0,0,0,0,0,0,0,-1,3,-7,11,-12,14,-12,10,-7,3,-1,0,0,0,0,0,0,0,0,0
12n_781,0,0,0,0,0,0,0,0,-1,3,-7,12,-14,16,-15,12,-8,4,-1,0,0,0,0,0,0,0,0,0,0,0
12n_782,0,0,0,0,0,0,0,1,-3,7,-10,12,-14,13,-10,7,-3,1,0,0,0,0,0,0,0,0,0,0,0,0
12n_783,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,11,-16,21,-21,20,-16,10,-5,1,0,0,0,0,0,0,0
