knot_id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
12a_1205,4,-15,26,-29,26,-15,4,0,0,0,0
12a_1206,4,-24,57,-75,57,-24,4,0,0,0,0
12a_1207,2,-11,28,-42,47,-42,28,-11,2,0,0
12a_1208,4,-23,58,-77,58,-23,4,0,0,0,0
12a_1209,1,-5,12,-22,32,-37,32,-22,12,-5,1
12a_1210,1,-5,12,-21,28,-31,28,-21,12,-5,1
12a_1211,1,-6,17,-33,48,-55,48,-33,17,-6,1
12a_1212,1,-6,16,-29,41,-45,41,-29,16,-6,1
12a_1213,2,-12,31,-51,61,-51,31,-12,2,0,0
12a_1214,1,-3,4,-5,6,-7,6,-5,4,-3,1
12a_1215,1,-4,9,-15,19,-21,19,-15,9,-4,1
12a_1216,2,-11,25,-35,37,-35,25,-11,2,0,0
12a_1217,4,-23,55,-73,55,-23,4,0,0,0,0
12a_1218,1,-4,8,-13,18,-21,18,-13,8,-4,1
12a_1219,1,-4,9,-15,21,-23,21,-15,9,-4,1
12a_1220,1,-4,8,-11,14,-15,14,-11,8,-4,1
12a_1221,1,-5,13,-24,35,-39,35,-24,13,-5,1
12a_1222,1,-5,13,-25,37,-43,37,-25,13,-5,1
12a_1223,1,-4,10,-18,23,-25,23,-18,10,-4,1
12a_1224,2,-8,18,-29,33,-29,18,-8,2,0,0
12a_1225,1,-5,14,-28,41,-47,41,-28,14,-5,1
12a_1226,1,-4,10,-18,26,-29,26,-18,10,-4,1
12a_1227,1,-5,13,-24,34,-37,34,-24,13,-5,1
12a_1228,2,-10,24,-39,47,-39,24,-10,2,0,0
12a_1229,1,-5,14,-27,40,-47,40,-27,14,-5,1
12a_1230,1,-5,14,-27,39,-43,39,-27,14,-5,1
12a_1231,1,-5,13,-24,34,-39,34,-24,13,-5,1
12a_1232,2,-10,24,-37,41,-37,24,-10,2,0,0
12a_1233,1,-3,6,-10,12,-13,12,-10,6,-3,1
12a_1234,2,-7,15,-25,29,-25,15,-7,2,0,0
12a_1235,1,-4,9,-16,23,-27,23,-16,9,-4,1
12a_1236,2,-9,21,-33,37,-33,21,-9,2,0,0
12a_1237,2,-11,28,-45,53,-45,28,-11,2,0,0
12a_1238,1,-4,9,-16,23,-25,23,-16,9,-4,1
12a_1239,2,-9,21,-35,43,-35,21,-9,2,0,0
12a_1240,2,-8,14,-16,17,-16,14,-8,2,0,0
12a_1241,4,-18,35,-41,35,-18,4,0,0,0,0
12a_1242,2,-5,6,-7,7,-7,6,-5,2,0,0
12a_1243,4,-12,17,-19,17,-12,4,0,0,0,0
12a_1244,2,-8,16,-22,23,-22,16,-8,2,0,0
12a_1245,4,-18,39,-51,39,-18,4,0,0,0,0
12a_1246,1,-4,10,-18,25,-27,25,-18,10,-4,1
12a_1247,2,-8,16,-21,23,-21,16,-8,2,0,0
12a_1248,1,-6,17,-32,46,-51,46,-32,17,-6,1
12a_1249,1,-6,17,-32,46,-53,46,-32,17,-6,1
12a_1250,1,-5,14,-27,39,-45,39,-27,14,-5,1
12a_1251,4,-25,62,-83,62,-25,4,0,0,0,0
12a_1252,2,-10,27,-48,57,-48,27,-10,2,0,0
12a_1253,1,-5,14,-26,37,-41,37,-26,14,-5,1
12a_1254,1,-4,10,-18,25,-29,25,-18,10,-4,1
12a_1255,1,-5,13,-23,30,-33,30,-23,13,-5,1
12a_1256,2,-8,18,-27,29,-27,18,-8,2,0,0
12a_1257,2,-10,25,-41,47,-41,25,-10,2,0,0
12a_1258,1,-4,10,-19,28,-33,28,-19,10,-4,1
12a_1259,2,-8,18,-28,31,-28,18,-8,2,0,0
12a_1260,1,-4,10,-19,27,-31,27,-19,10,-4,1
12a_1261,2,-9,23,-40,47,-40,23,-9,2,0,0
12a_1262,2,-8,18,-29,33,-29,18,-8,2,0,0
12a_1263,4,-21,49,-63,49,-21,4,0,0,0,0
12a_1264,2,-8,17,-24,25,-24,17,-8,2,0,0
12a_1265,4,-17,37,-49,37,-17,4,0,0,0,0
12a_1266,4,-15,28,-35,28,-15,4,0,0,0,0
